pitcher_id,season,opportunities_2b,sb_2b,cs_2b,attempts_2b,attempt_rate,sb_pct,tempo22_w,pitches22,baseline_group,in_baseline_2022,appears_post_only,balanced_panel_18_24
519141,2018,342,0,2,2,0.005847953216374269,0.0,,,,0,0,0
519144,2018,521,4,1,5,0.009596928982725527,0.8,,,,0,0,0
519151,2018,159,4,2,6,0.03773584905660377,0.6666666666666666,23.67,88.0,T3,1,0,1
519166,2018,158,9,1,10,0.06329113924050633,0.9,,,,0,0,0
519240,2018,44,3,0,3,0.06818181818181818,1.0,,,,0,0,0
519242,2018,558,5,1,6,0.010752688172043012,0.8333333333333334,,,,0,0,0
519293,2018,118,4,0,4,0.03389830508474576,1.0,20.128,146.0,T3,1,0,1
519294,2018,44,0,0,0,0.0,,,,,0,0,0
519301,2018,117,0,1,1,0.008547008547008548,0.0,,,,0,0,0
519326,2018,185,1,0,1,0.005405405405405406,1.0,24.262,208.0,T3,1,0,0
519381,2018,35,0,0,0,0.0,,,,,0,0,0
519393,2018,24,0,0,0,0.0,,,,,0,0,0
519443,2018,135,4,3,7,0.05185185185185185,0.5714285714285714,,,,0,0,0
519455,2018,414,5,3,8,0.01932367149758454,0.625,,,,0,0,0
520980,2018,183,4,0,4,0.02185792349726776,1.0,,,,0,0,0
521230,2018,146,2,1,3,0.02054794520547945,0.6666666666666666,22.097,142.0,T3,1,0,0
521655,2018,172,0,1,1,0.005813953488372093,0.0,,,,0,0,0
523260,2018,245,6,1,7,0.02857142857142857,0.8571428571428571,23.086,149.0,T3,1,0,1
525768,2018,96,2,0,2,0.020833333333333332,1.0,,,,0,0,0
527048,2018,339,1,1,2,0.0058997050147492625,0.5,18.191,535.0,T2,1,0,1
527054,2018,548,14,2,16,0.029197080291970802,0.875,,,,0,0,0
527055,2018,133,0,0,0,0.0,,,,,0,0,0
532077,2018,113,0,0,0,0.0,,,,,0,0,0
533167,2018,74,1,0,1,0.013513513513513514,1.0,,,,0,0,0
534606,2018,2,0,0,0,0.0,,,,,0,0,0
534812,2018,42,0,0,0,0.0,,,,,0,0,0
541640,2018,152,0,0,0,0.0,,21.816,164.0,T3,1,0,1
541650,2018,11,0,0,0,0.0,,,,,0,0,0
541652,2018,116,5,0,5,0.04310344827586207,1.0,,,,0,0,0
542289,2018,13,0,0,0,0.0,,,,,0,0,0
542432,2018,20,2,0,2,0.1,1.0,,,,0,0,0
542881,2018,598,2,0,2,0.0033444816053511705,1.0,17.418,314.0,T2,1,0,1
542882,2018,305,4,1,5,0.01639344262295082,0.8,,,,0,0,0
542888,2018,41,0,0,0,0.0,,21.066,183.0,T3,1,0,1
542914,2018,50,0,0,0,0.0,,20.431,154.0,T3,1,0,0
542924,2018,12,0,0,0,0.0,,,,,0,0,0
542947,2018,101,1,0,1,0.009900990099009901,1.0,18.976,134.0,T2,1,0,0
542960,2018,275,3,1,4,0.014545454545454545,0.75,,,,0,0,0
543001,2018,136,1,1,2,0.014705882352941176,0.5,,,,0,0,0
543022,2018,505,6,2,8,0.015841584158415842,0.75,,,,0,0,0
543031,2018,73,0,0,0,0.0,,,,,0,0,0
543037,2018,658,11,5,16,0.0243161094224924,0.6875,17.599,437.0,T2,1,0,1
543045,2018,139,0,1,1,0.007194244604316547,0.0,,,,0,0,0
543056,2018,127,1,0,1,0.007874015748031496,1.0,,,,0,0,0
543101,2018,333,3,3,6,0.018018018018018018,0.5,15.954,69.0,T1,1,0,0
543118,2018,166,1,1,2,0.012048192771084338,0.5,,,,0,0,0
543135,2018,330,0,0,0,0.0,,17.767,242.0,T2,1,0,1
543144,2018,12,0,0,0,0.0,,,,,0,0,0
543169,2018,298,1,0,1,0.003355704697986577,1.0,,,,0,0,0
543193,2018,38,0,0,0,0.0,,,,,0,0,0
543208,2018,374,12,4,16,0.0427807486631016,0.75,,,,0,0,0
543219,2018,71,0,0,0,0.0,,,,,0,0,0
543243,2018,366,4,1,5,0.01366120218579235,0.8,17.667,282.0,T2,1,0,1
543258,2018,17,0,0,0,0.0,,,,,0,0,0
543272,2018,264,0,0,0,0.0,,22.912,180.0,T3,1,0,0
543278,2018,309,4,1,5,0.016181229773462782,0.8,,,,0,0,0
543294,2018,615,10,2,12,0.01951219512195122,0.8333333333333334,16.989,199.0,T1,1,0,1
543331,2018,6,0,0,0,0.0,,,,,0,0,0
543339,2018,158,4,0,4,0.02531645569620253,1.0,23.763,71.0,T3,1,0,1
543359,2018,241,1,0,1,0.004149377593360996,1.0,,,,0,0,0
543391,2018,83,0,1,1,0.012048192771084338,0.0,,,,0,0,0
543424,2018,25,0,0,0,0.0,,,,,0,0,0
543475,2018,299,4,2,6,0.020066889632107024,0.6666666666666666,15.517,464.0,T1,1,0,1
543483,2018,197,4,1,5,0.025380710659898477,0.8,,,,0,0,0
543506,2018,175,2,3,5,0.02857142857142857,0.4,,,,0,0,0
543507,2018,79,1,0,1,0.012658227848101266,1.0,20.617,112.0,T3,1,0,0
543508,2018,18,0,0,0,0.0,,,,,0,0,0
543521,2018,214,1,2,3,0.014018691588785047,0.3333333333333333,16.319,200.0,T1,1,0,0
543548,2018,59,0,0,0,0.0,,,,,0,0,0
543557,2018,475,3,4,7,0.014736842105263158,0.42857142857142855,,,,0,0,0
543606,2018,645,11,2,13,0.020155038759689922,0.8461538461538461,19.158,246.0,T2,1,0,0
543699,2018,652,5,7,12,0.018404907975460124,0.4166666666666667,,,,0,0,0
543734,2018,177,0,0,0,0.0,,,,,0,0,0
543746,2018,11,1,0,1,0.09090909090909091,1.0,,,,0,0,0
543766,2018,214,3,2,5,0.02336448598130841,0.6,18.194,202.0,T2,1,0,1
543883,2018,138,2,0,2,0.014492753623188406,1.0,,,,0,0,0
543901,2018,18,0,1,1,0.05555555555555555,0.0,,,,0,0,0
543903,2018,13,0,0,0,0.0,,,,,0,0,0
543935,2018,186,0,2,2,0.010752688172043012,0.0,,,,0,0,0
