gamePk,season,level_name,play_idx,pitcher_id,pitcher_name,batter_id,runner_id,balls,strikes,outs,runner_state,event_type,base_to
671199,2022,AA,35,663795,Justin Hagenman,666452,,2,3,2,1__,SB,second
671199,2022,AA,50,687798,Nick Robertson,666452,,0,3,3,_2_,CS,third
671566,2022,AA,1,685107,Anthony Veneziano,657017,,1,2,1,12_,SB,second
671566,2022,AA,13,685107,Anthony Veneziano,657017,,2,3,2,1__,SB,second
671566,2022,AA,20,685107,Anthony Veneziano,680737,,2,1,1,12_,SB,second
671566,2022,AA,29,672529,Yefri Del Rosario,657017,,4,1,1,1__,SB,second
671566,2022,AA,60,681892,Kody Funderburk,672580,,1,0,3,1__,CS,second
673754,2022,AA,22,670062,Julian Garcia,682177,,3,3,3,1__,SB,second
673751,2022,AA,2,669142,Tanner Burns,665560,,2,3,2,1__,SB,second
673751,2022,AA,8,675640,Braden Zarbnisky,687588,,1,1,3,1__,SB,second
673751,2022,AA,11,669142,Tanner Burns,663660,,4,2,2,1__,CS,second
671197,2022,AA,21,680701,John Rooney,686527,,0,1,1,1__,CS,second
671359,2022,AA,26,657660,Justin Lewis,686781,,1,3,3,1__,SB,second
671665,2022,AA,5,663686,Cody Deason,681146,,4,1,1,1__,SB,second
671665,2022,AA,38,663686,Cody Deason,681146,,3,2,2,1__,CS,second
673155,2022,AA,23,687888,Brandon Walter,656508,,3,3,3,1__,SB,second
671503,2022,AA,6,683004,Jack Leiter,641525,,2,1,2,1__,SB,second
671503,2022,AA,21,664045,Thomas Eshelman,687957,,2,2,1,123,SB,third
671503,2022,AA,26,683004,Jack Leiter,676759,,4,1,1,1__,SB,second
671503,2022,AA,28,683004,Jack Leiter,605520,,2,2,3,1__,SB,second
671503,2022,AA,52,681931,Nick Starr,686887,,1,0,3,1__,SB,second
671488,2022,AA,3,675923,Ryan Lillie,688760,,4,1,1,12_,SB,third
671488,2022,AA,11,675923,Ryan Lillie,601714,,1,3,1,1__,SB,second
671488,2022,AA,32,663674,Mason Fox,677649,,1,2,3,1__,SB,second
672475,2022,AA,44,669690,Blake Rivera,669707,,3,3,1,1__,SB,second
672475,2022,AA,50,672848,Noe Toribio,676762,,3,3,2,1__,SB,second
672350,2022,AA,22,686610,Ken Waldichuk,668667,,1,3,3,1__,CS,second
672350,2022,AA,29,686610,Ken Waldichuk,686531,,0,3,2,_2_,SB,third
672350,2022,AA,58,656619,Chance Kirby,685313,,3,3,1,1__,SB,second
671561,2022,AA,6,681808,Chris Vallimont,670231,,4,2,0,1__,SB,second
671561,2022,AA,58,642225,Stephen Woods Jr.,670242,,3,2,3,1__,SB,second
671561,2022,AA,62,674444,Steven Cruz,689374,,2,1,3,1__,SB,second
671561,2022,AA,83,657116,Zach Willeman,657510,,1,3,2,_2_,SB,third
674018,2022,AA,19,685112,Zach McCambley,664334,,2,2,1,1__,SB,second
674018,2022,AA,29,685112,Zach McCambley,670867,,4,1,1,1__,SB,second
674018,2022,AA,37,669081,Jack Dashwood,657617,,3,2,1,12_,SB,second
672161,2022,AA,21,647306,Ben Onyshko,664332,,4,2,2,1__,SB,second
672161,2022,AA,37,676830,Collin Kober,682650,,3,2,1,_23,SB,third
672161,2022,AA,54,682967,Devin Sweet,687470,,4,1,1,1__,SB,second
673456,2022,AA,33,666658,Jose Chacin,668974,,1,3,1,1__,SB,second
673456,2022,AA,35,686193,Justin Lasko,686887,,4,2,1,1__,SB,second
672863,2022,AA,17,666721,Max Castillo,663796,,2,3,3,1__,SB,second
672890,2022,AA,1,687606,Paxton Schultz,678662,,2,3,1,1__,SB,second
672863,2022,AA,17,666721,Max Castillo,663796,,2,3,3,1__,SB,second
673126,2022,AA,40,669734,Dakody Clemmer,676280,,2,3,2,1__,SB,second
673126,2022,AA,59,681555,Andrew Politi,658677,,1,0,2,12_,SB,second
673455,2022,AA,28,663820,Alex Valverde,647228,,3,3,2,1__,SB,second
673455,2022,AA,56,669682,Morgan McSweeney,687055,,4,0,2,12_,SB,third
672349,2022,AA,9,681190,Randy Vásquez,676811,,3,2,2,12_,SB,second
672349,2022,AA,21,681190,Randy Vásquez,693307,,1,1,3,_2_,SB,third
672349,2022,AA,29,681190,Randy Vásquez,667472,,4,2,0,12_,SB,second
674939,2022,AA,23,668711,Nick Bennett,680769,,4,1,1,_2_,SB,third
674939,2022,AA,24,668711,Nick Bennett,649955,,4,2,1,1__,SB,second
674939,2022,AA,28,660604,Alan Rangel,666186,,4,2,2,1__,CS,second
674939,2022,AA,38,660604,Alan Rangel,687478,,1,2,1,12_,SB,second
674939,2022,AA,51,663977,Jake Higginbotham,656883,,1,2,2,123,SB,third
674939,2022,AA,71,691109,Zach Vennaro,663692,,1,1,3,1__,SB,second
674536,2022,AA,11,682029,Connor Curlis,656369,,1,3,2,1__,CS,second
674536,2022,AA,34,670625,Steven Moyers,660844,,1,1,3,1__,SB,second
671565,2022,AA,4,669946,Brandon Lawson,670231,,2,1,1,12_,SB,second
671565,2022,AA,39,669370,Asa Lacy,656736,,2,2,2,123,SB,second
671565,2022,AA,40,669370,Asa Lacy,668715,,0,0,3,1_3,SB,second
671565,2022,AA,54,668857,Dante Biasi,668885,,2,2,2,12_,SB,second
671565,2022,AA,59,643588,Tyler Viza,686681,,1,3,2,1__,SB,second
674016,2022,AA,33,684665,Luke Murphy,687859,,3,3,3,12_,SB,second
674016,2022,AA,41,678371,Ivan Armstrong,665052,,2,3,3,1__,SB,second
674016,2022,AA,43,663773,Bryan Hoeing,663550,,4,2,1,1__,CS,second
674016,2022,AA,76,644396,Luis Ledo,666464,,1,3,3,1__,SB,second
674338,2022,AA,7,669247,Chris Clarke,678554,,1,2,1,1_3,SB,second
674338,2022,AA,10,669247,Chris Clarke,687882,,2,3,3,1_3,CS,home
674338,2022,AA,24,679928,Evan McKendry,643599,,3,3,2,1_3,SB,second
674338,2022,AA,27,669247,Chris Clarke,675659,,0,2,2,1__,CS,second
674338,2022,AA,31,695038,Sean Hunley,672744,,2,0,3,_2_,CS,third
