team_id,team_name,season,level_id,level_name,month,games,sb,cs,attempts,sb_allowed,cs_allowed,attempts_allowed,success_rate,success_rate_allowed
424,Dunedin Blue Jays,2019,13,High-A,5,42,24,9,33,25,6,31,0.7272727272727273,0.8064516129032258
424,Dunedin Blue Jays,2019,13,High-A,6,33,54,17,71,28,14,42,0.7605633802816901,0.6666666666666666
424,Dunedin Blue Jays,2019,13,High-A,7,57,48,12,60,60,7,67,0.8,0.8955223880597015
424,Dunedin Blue Jays,2019,13,High-A,8,41,53,11,64,8,10,18,0.828125,0.4444444444444444
426,Wilmington Blue Rocks,2019,13,High-A,4,35,34,29,63,18,15,33,0.5396825396825397,0.5454545454545454
426,Wilmington Blue Rocks,2019,13,High-A,5,32,30,20,50,12,10,22,0.6,0.5454545454545454
426,Wilmington Blue Rocks,2019,13,High-A,6,32,58,14,72,11,12,23,0.8055555555555556,0.4782608695652174
426,Wilmington Blue Rocks,2019,13,High-A,7,48,43,30,73,3,28,31,0.589041095890411,0.0967741935483871
426,Wilmington Blue Rocks,2019,13,High-A,8,28,26,18,44,15,15,30,0.5909090909090909,0.5
426,Wilmington Blue Rocks,2019,13,High-A,9,2,2,0,2,0,1,1,1.0,0.0
427,Lakewood BlueClaws,2019,14,A,4,21,28,13,41,28,7,35,0.6829268292682927,0.8
428,Greenville Drive,2019,14,A,4,29,43,25,68,37,6,43,0.6323529411764706,0.8604651162790697
430,Mississippi Braves,2019,12,AA,4,32,13,17,30,22,7,29,0.43333333333333335,0.7586206896551724
430,Mississippi Braves,2019,12,AA,5,29,16,13,29,14,8,22,0.5517241379310345,0.6363636363636364
430,Mississippi Braves,2019,12,AA,6,38,29,16,45,25,12,37,0.6444444444444445,0.6756756756756757
430,Mississippi Braves,2019,12,AA,7,36,31,10,41,25,5,30,0.7560975609756098,0.8333333333333334
430,Mississippi Braves,2019,12,AA,8,36,30,7,37,24,7,31,0.8108108108108109,0.7741935483870968
430,Mississippi Braves,2019,12,AA,9,2,2,0,2,0,0,0,1.0,
431,Gwinnett Stripers,2019,11,AAA,4,28,9,12,21,11,6,17,0.42857142857142855,0.6470588235294118
431,Gwinnett Stripers,2019,11,AAA,5,29,10,7,17,12,9,21,0.5882352941176471,0.5714285714285714
431,Gwinnett Stripers,2019,11,AAA,6,29,15,6,21,10,10,20,0.7142857142857143,0.5
431,Gwinnett Stripers,2019,11,AAA,7,29,15,7,22,6,6,12,0.6818181818181818,0.5
431,Gwinnett Stripers,2019,11,AAA,8,32,12,6,18,12,15,27,0.6666666666666666,0.4444444444444444
431,Gwinnett Stripers,2019,11,AAA,9,2,2,1,3,0,1,1,0.6666666666666666,0.0
432,Rome Braves,2019,14,A,4,22,10,9,19,10,15,25,0.5263157894736842,0.4
434,Bravos de Leon,2019,11,AAA,4,22,5,9,14,21,8,29,0.35714285714285715,0.7241379310344828
434,Bravos de Leon,2019,11,AAA,5,30,16,6,22,12,3,15,0.7272727272727273,0.8
434,Bravos de Leon,2019,11,AAA,6,23,9,8,17,14,10,24,0.5294117647058824,0.5833333333333334
434,Bravos de Leon,2019,11,AAA,7,45,36,24,60,38,15,53,0.6,0.7169811320754716
434,Bravos de Leon,2019,11,AAA,8,28,18,9,27,18,7,25,0.6666666666666666,0.72
436,Potomac Nationals,2019,13,High-A,4,35,27,11,38,28,10,38,0.7105263157894737,0.7368421052631579
436,Potomac Nationals,2019,13,High-A,5,32,20,7,27,18,10,28,0.7407407407407407,0.6428571428571429
436,Potomac Nationals,2019,13,High-A,6,29,15,8,23,21,14,35,0.6521739130434783,0.6
436,Potomac Nationals,2019,13,High-A,7,42,21,8,29,20,9,29,0.7241379310344828,0.6896551724137931
436,Potomac Nationals,2019,13,High-A,8,28,22,8,30,11,5,16,0.7333333333333333,0.6875
436,Potomac Nationals,2019,13,High-A,9,2,0,0,0,0,0,0,,
437,Lake County Captains,2019,14,A,4,28,55,12,67,25,16,41,0.8208955223880597,0.6097560975609756
440,Springfield Cardinals,2019,12,AA,4,25,15,6,21,24,10,34,0.7142857142857143,0.7058823529411765
440,Springfield Cardinals,2019,12,AA,5,32,22,16,38,25,11,36,0.5789473684210527,0.6944444444444444
440,Springfield Cardinals,2019,12,AA,6,29,15,12,27,48,9,57,0.5555555555555556,0.8421052631578947
440,Springfield Cardinals,2019,12,AA,7,28,19,6,25,13,6,19,0.76,0.6842105263157895
440,Springfield Cardinals,2019,12,AA,8,30,19,11,30,9,6,15,0.6333333333333333,0.6
440,Springfield Cardinals,2019,12,AA,9,2,1,1,2,1,3,4,0.5,0.25
442,Olmecas de Tabasco,2019,11,AAA,4,22,13,7,20,20,11,31,0.65,0.6451612903225806
442,Olmecas de Tabasco,2019,11,AAA,5,27,11,8,19,22,10,32,0.5789473684210527,0.6875
442,Olmecas de Tabasco,2019,11,AAA,6,23,9,11,20,10,10,20,0.45,0.5
442,Olmecas de Tabasco,2019,11,AAA,7,34,36,11,47,25,7,32,0.7659574468085106,0.78125
442,Olmecas de Tabasco,2019,11,AAA,8,25,27,13,40,15,7,22,0.675,0.6818181818181818
443,Peoria Chiefs,2019,14,A,4,24,15,11,26,21,12,33,0.5769230769230769,0.6363636363636364
445,Columbus Clippers,2019,11,AAA,4,30,27,8,35,16,18,34,0.7714285714285715,0.47058823529411764
445,Columbus Clippers,2019,11,AAA,5,29,16,6,22,11,11,22,0.7272727272727273,0.5
445,Columbus Clippers,2019,11,AAA,6,33,25,8,33,26,7,33,0.7575757575757576,0.7878787878787878
445,Columbus Clippers,2019,11,AAA,7,27,15,8,23,10,7,17,0.6521739130434783,0.5882352941176471
